comune,via,civici,civico_da,civico_a,distretto,n_prese,n_discordanti,note
BELGIOIOSO,VIA SPADOLINI,tutti,,,DBLG03,7,0,
BELGIOIOSO,VIA SPINELLI,tutti,,,DBLG03,1,0,
BELGIOIOSO,VIA TERESIO OLIVELLI,tutti,,,DBLG03,14,0,
BELGIOIOSO,VIA TRE MARTIRI,tutti,,,DBLG03,33,0,
BELGIOIOSO,VIA TRENTO,tutti,,,DBLG02,21,1,
BELGIOIOSO,VIA TRIESTE,tutti,,,DBLG02,20,1,
BELGIOIOSO,VIA TRIESTE,tutti,1,1,DBLG03,2,0,"eccezione: 2 prese al civico 1, da verificare"
BELGIOIOSO,VIA TRIESTE,tutti,60,60,DBLG03,17,0,"eccezione: 17 prese al civico 60, da verificare"
BELGIOIOSO,VIA UGO DOZZIO,tutti,,,DBLG03,7,0,
BELGIOIOSO,VIA UGO FOSCOLO,tutti,,,DBLG03,16,0,
BELGIOIOSO,VIA VITTORIO ALFIERI,tutti,,,DBLG03,14,1,
BELGIOIOSO,VIA VIVALDI,tutti,,,DBLG03,3,0,
BELGIOIOSO,VIA XX SETTEMBRE,tutti,,,DBLG03,159,1,
BELGIOIOSO,VIA XXV APRILE,tutti,,,DBLG03,24,0,
BELGIOIOSO,VIALE CARDUCCI,tutti,,,DBLG03,37,0,
BELGIOIOSO,VIALE DANTE ALIGHIERI,tutti,,61,DBLG03,46,0,via divisa tra distretti
BELGIOIOSO,VIALE DANTE ALIGHIERI,tutti,40,40,DBLG01,5,0,"eccezione: 5 prese al civico 40, da verificare"
BELGIOIOSO,VIALE DANTE ALIGHIERI,tutti,62,,DBLG01,15,0,via divisa tra distretti
BELGIOIOSO,VIALE DONNA ANNA D'ESTE,tutti,,,DBLG03,43,0,
BELGIOIOSO,VIALE ENRICO BERLINGUER,tutti,,,DBLG03,10,0,
BELGIOIOSO,VIALE MANZONI ALESSANDRO,tutti,,,DBLG03,17,0,
BELGIOIOSO,VIALE RIMEMBRANZA,tutti,,,DBLG03,1,0,
BELGIOIOSO,VIALE TOGLIATTI,tutti,,,DBLG03,25,2,
